parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization	objectivePriorType	objectivePriorParameters				
kImImRB1_E2F_Ser807_Ser811p__1		log	0.016600043	267.3612393	1.030668168	1	0	uniform					
kExImRB1_E2F_Ser807_Ser811p__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImPPP2R2B_ENSA_ARPP19__1		log	0.016600043	125.9888018	1.593128171	1	0	uniform					
kExImPPP2R2B_ENSA_ARPP19__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImAPC_FBXO5_FZR1_CDC20_Ser355u__1		log	0.000759322	0.165999583	0.138844634	1	0	uniform					
kExImAPC_FBXO5_FZR1_CDC20_Ser355u__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImCDC20_APC__1		log	0.001659996	0.165999583	0.157424173	1	0	uniform					
kExImCDC20_APC__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImAPC_FBXO5_FZR1_CDC201_Ser355p__CDC20_APC1__1		log	0.001659996	0.165999583	0.001740014	1	0	uniform					
kExImAPC_FBXO5_FZR1_CDC201_Ser355p__CDC20_APC1__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImAPC_FBXO5_FZR1_CDC20_Ser355p__1		log	3.37E-05	0.003366371	0.00166	1	0	uniform					
kExImAPC_FBXO5_FZR1_CDC20_Ser355p__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImAPC_FBXO5_FZR1_CDC201_Ser355u__FZR1_APC1_FBXO5_nTermu__1		log	1.69E-07	0.00166	1.66E-04	1	0	uniform					
kExImAPC_FBXO5_FZR1_CDC201_Ser355u__FZR1_APC1_FBXO5_nTermu__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImFZR1_APC_FBXO5_nTermu__1		log	0.000166	1.66000066	0.00860966	1	0	uniform					
kExImFZR1_APC_FBXO5_nTermu__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImFZR1_APC_FBXO5_nTermp__1		log	1.66E-06	0.166310293	1.66E-04	1	0	uniform					
kExImFZR1_APC_FBXO5_nTermp__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImAPC_FBXO51_FZR1_CDC202_Ser355u__FBXO5_APC1_FZR13_Ser182u__FZR1_APC2_FBXO53_nTermu__1		log	1.66E-05	0.165999583	2.00E-03	1	0	uniform					
kExImAPC_FBXO51_FZR1_CDC202_Ser355u__FBXO5_APC1_FZR13_Ser182u__FZR1_APC2_FBXO53_nTermu__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImFBXO5_APC_FZR1_Ser182u__1		log	1.66E-05	0.008484626	0.00166	1	0	uniform					
kExImFBXO5_APC_FZR1_Ser182u__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImAPC_FBXO51_FZR1_CDC202_Ser355p__FBXO5_APC1_FZR13_Ser182u__FZR1_APC2_FBXO53_nTermu__1		log	0.001642066	16.59995526	0.165999992	1	0	uniform					
kExImAPC_FBXO51_FZR1_CDC202_Ser355p__FBXO5_APC1_FZR13_Ser182u__FZR1_APC2_FBXO53_nTermu__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImAPC_FBXO5_FZR1_CDC201_Ser355p__FZR1_APC1_FBXO5_nTermu__1		log	0.000901642	0.090164455	0.00166	1	0	uniform					
kExImAPC_FBXO5_FZR1_CDC201_Ser355p__FZR1_APC1_FBXO5_nTermu__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImFBXO5_APC_FZR1_Ser182p__1		log	5.79E-05	0.005787933	0.00166	1	0	uniform					
kExImFBXO5_APC_FZR1_Ser182p__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImFOXM1_DBD_Thr600u__1		log	0.001659996	16.59995526	0.001706104	1	0	uniform					
kExImFOXM1_DBD_Thr600u__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImFOXM1_DBD_Thr600p__1		log	0.001659996	0.165999583	0.002353788	1	0	uniform					
kExImFOXM1_DBD_Thr600p__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImWEE1_Ser123u__1		log	0.001659996	0.165999583	0.002017026	1	0	uniform					
kExImWEE1_Ser123u__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImCCNB_CDK1_Thr14_Tyr15p_CDKN1A__1		log	0.000416056	1.66000066	0.041605497	1	0	uniform					
kExImCCNB_CDK1_Thr14_Tyr15p_CDKN1A__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImWEE1_Ser123p__1		log	0.000166	0.016600043	0.0142814	1	0	uniform					
kExImWEE1_Ser123p__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImCDC25_pSitesp__1		log	0.000225004	1.66000066	0.027495016	1	0	uniform					
kExImCDC25_pSitesp__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImCDC25_pSitesu__1		log	0.001659996	0.165999583	0.001884995	1	0	uniform					
kExImCDC25_pSitesu__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImMASTL_Thr198u__1		log	0.001659996	0.176443146	0.005595631	1	0	uniform					
kExImMASTL_Thr198u__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImMASTL_Thr198p__1		log	0.016600043	1.66000066	0.080300016	1	0	uniform					
kExImMASTL_Thr198p__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImENSA_ARPP19_PPP2R2B_Ser62_Ser67u__1		log	0.001659996	0.165999583	0.010242885	1	0	uniform					
kExImENSA_ARPP19_PPP2R2B_Ser62_Ser67u__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImENSA_ARPP19_PPP2R2B_Ser62_Ser67p__1		log	0.000166	0.016600043	0.000449157	1	0	uniform					
kExImENSA_ARPP19_PPP2R2B_Ser62_Ser67p__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImENSA_ARPP19_PPP2R2B1_Ser62_Ser67p__PPP2R2B_ENSA_ARPP191__1		log	0.000166	1.66000398	0.004577342	1	0	uniform					
kExImENSA_ARPP19_PPP2R2B1_Ser62_Ser67p__PPP2R2B_ENSA_ARPP191__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImSKP2_1		log	0.081842857	336690.7055	0.165999992	1	0	uniform					
kExImSKP2_1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImTP53_DBD_Ser15p__1		log	0.016600043	166.0003671	1.412383913	1	0	uniform					
kExImTP53_DBD_Ser15p__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImFOXO_DBD__1		log	0.000166001	1.66000066	0.338846618	1	0	uniform					
kExImFOXO_DBD__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImCDKN1A_CCNE_A_B_Ser130u__1		log	0.016600043	1.66000066	0.548330021	1	0	uniform					
kExImCDKN1A_CCNE_A_B_Ser130u__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImCDKN1B_CCNE_A_Thr187u__1		log	0.016600043	1.66000066	0.122359618	1	0	uniform					
kExImCDKN1B_CCNE_A_Thr187u__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImCCNA_CDKN1A_B1__CDKN1A_CCNE_A_B1_Ser130u__1		log	0.001764549	16.59995526	0.165999992	1	0	uniform					
kExImCCNA_CDKN1A_B1__CDKN1A_CCNE_A_B1_Ser130u__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImCCNE_CDKN1A_B1__CDKN1A_CCNE_A_B1_Ser130u__1		log	0.016600043	1.66000066	0.037186717	1	0	uniform					
kExImCCNE_CDKN1A_B1__CDKN1A_CCNE_A_B1_Ser130u__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImCCNB_CDK1_Thr14_Tyr15u_CDKN1A1__CDKN1A_CCNE_A_B1_Ser130u__1		log	0.000450974	1.66000066	0.04509735	1	0	uniform					
kExImCCNB_CDK1_Thr14_Tyr15u_CDKN1A1__CDKN1A_CCNE_A_B1_Ser130u__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImCCNB_CDK1_Thr14_Tyr15p_CDKN1A1__CDKN1A_CCNE_A_B1_Ser130u__1		log	0.165999583	13879.90024	1.66	1	0	uniform					
kExImCCNB_CDK1_Thr14_Tyr15p_CDKN1A1__CDKN1A_CCNE_A_B1_Ser130u__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImCDKN1A_CCNE_A_B_Ser130p__1		log	0.165999988	16600908.82	1.659999923	1	0	uniform					
kExImCDKN1A_CCNE_A_B_Ser130p__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImCCNA_CDKN1A_B1__CDKN1B_CCNE_A1_Thr187u__1		log	0.000692247	16.59995526	0.165999992	1	0	uniform					
kExImCCNA_CDKN1A_B1__CDKN1B_CCNE_A1_Thr187u__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImCCNE_CDKN1A_B1__CDKN1B_CCNE_A1_Thr187u__1		log	0.165999583	166.0003671	1.66	1	0	uniform					
kExImCCNE_CDKN1A_B1__CDKN1B_CCNE_A1_Thr187u__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImCDKN1B_CCNE_A_Thr187p__1		log	0.165999992	16600908.82	1.659999923	1	0	uniform					
kExImCDKN1B_CCNE_A_Thr187p__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImCCNA_CDKN1A_B1__CDKN1B_CCNE_A1_Thr187p__1		log	0.068873505	16.59995526	0.165999992	1	0	uniform					
kExImCCNA_CDKN1A_B1__CDKN1B_CCNE_A1_Thr187p__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImCCNE_CDKN1A_B1__CDKN1B_CCNE_A1_Thr187p__1		log	0.001659903	166001.1508	1.659999923	1	0	uniform					
kExImCCNE_CDKN1A_B1__CDKN1B_CCNE_A1_Thr187p__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kIm_2		log	0	1.66	0	0	0	uniform					
kEx_2		log	0	1.66	0	0	0	uniform					
ic_wt_Cyt__CCND		lin	9747590712	9.75E+11	60200000000	0	0	uniform					
ic_wt_Cyt__CCNE_CDKN1A_B_		lin	94223752.43	9422375243	1400001399	1	0	uniform					
ic_wt_Cyt__E2F_DBD_RB1_Ser332u_		lin	916205.7831	1620643740	810321869.9	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__E2F_DBD_RB1_Ser332p_		lin	518041.1397	337297483.3	1036082.279	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__CCNA_CDKN1A_B_		lin	1813749.604	5277946262	2638973131	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__CCNB_CDK1_Thr14_Tyr15u_CDKN1A_		lin	79128738.68	21293785089	10646892544	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__E2F_DBD_RB1_1_Ser332u__RB1_E2F_1_Ser807_Ser811u_		lin	17347494.36	85464672628	42732336314	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__E2F_DBD_RB1_1_Ser332p__RB1_E2F_1_Ser807_Ser811u_		lin	8911149.619	891114961.9	9069999.909	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__RB1_E2F_Ser807_Ser811u_		lin	2.64E+10	1.52E+13	5.28E+10	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__RB1_E2F_Ser807_Ser811p_		lin	141269237.9	56200297351	28100148675	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__PPP2R2B_ENSA_ARPP19_		lin	34289.99796	9313919218	4656959609	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__APC_FBXO5_FZR1_CDC20_Ser355u_		lin	1940272404	1.94E+11	27574029220	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__CDC20_APC_		lin	3202.304225	10496597175	5248298588	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__APC_FBXO5_FZR1_CDC20_1_Ser355p__CDC20_APC_1_		lin	9.621797698	2875431978	1437715989	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__APC_FBXO5_FZR1_CDC20_Ser355p_		lin	1861706576	1.86E+11	15061200050	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__APC_FBXO5_FZR1_CDC20_1_Ser355u__FZR1_APC_1_FBXO5_nTermu_		lin	9068458363	7.96E+12	1.81E+10	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__FZR1_APC_FBXO5_nTermu_		lin	1801581.197	1.38E+12	3.60E+06	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__FZR1_APC_FBXO5_nTermp_		lin	2.43E+10	4.38E+13	4.87E+10	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__APC_FBXO5_1_FZR1_CDC20_2_Ser355u__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_		lin	533545557.4	53354555739	4282916335	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__FBXO5_APC_FZR1_Ser182u_		lin	2160002.158	14277162340	4320004.317	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__APC_FBXO5_1_FZR1_CDC20_2_Ser355p__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_		lin	168131157.7	16813115774	1326218848	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__APC_FBXO5_FZR1_CDC20_1_Ser355p__FZR1_APC_1_FBXO5_nTermu_		lin	4.09E+09	1.65E+13	8.18E+09	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__FBXO5_APC_FZR1_Ser182p_		lin	1267780.515	10753034917	2535561.03	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__FOXM1_DBD_Thr600u_		lin	947730.426	94773042.6	64262318.85	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__FOXM1_DBD_Thr600p_		lin	66343.02519	4592668321	2296334161	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__WEE1_Ser123u_		lin	2950002948	1.56E+12	5.90E+09	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__CCNB_CDK1_Thr14_Tyr15p_CDKN1A_		lin	156253999.8	90399999097	45199999548	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__WEE1_Ser123p_		lin	5.90E+07	1.29E+14	1.18E+08	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__CDC25_pSitesp_		lin	5.55E+09	3.44E+14	1.11E+10	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__CDC25_pSitesu_		lin	1.89E+11	6.80E+13	3.79E+11	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__MASTL_Thr198u_		lin	2.27E+11	2.27E+13	4.17E+11	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__MASTL_Thr198p_		lin	745000000	9.08E+11	1490000000	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__ENSA_ARPP19_PPP2R2B_Ser62_Ser67u_		lin	2303928180	9.96E+11	4.98E+11	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__ENSA_ARPP19_PPP2R2B_Ser62_Ser67p_		lin	6.76E+06	1.92E+14	1.35E+07	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__ENSA_ARPP19_PPP2R2B_1_Ser62_Ser67p__PPP2R2B_ENSA_ARPP19_1_		lin	520000519.6	1.86E+11	1040001039	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__SKP2		lin	58130.53376	1.204E+11	60200000000	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__TP53_DBD_Ser15p_		lin	0	0	0	0	0	uniform				#REF!	#REF!
ic_wt_Cyt__FOXO_DBD_		lin	6487032562	6.49E+11	60200000000	1	0	uniform				#REF!	#REF!
ic_wt_Num__NUP_pSitesu_		lin	159.6051229	122925.1355	319.2102458	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__CCND		lin	2292409288	2.29E+11	60200000000	0	0	uniform				#REF!	#REF!
ic_wt_Nuc__CCNE_CDKN1A_B_		lin	1382084222	1.38E+11	47043582278	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__E2F_DBD_RB1_Ser332u_		lin	1117749.104	21749032040	10874516020	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__E2F_DBD_RB1_Ser332p_		lin	710532.6424	3443520439	1421065.285	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__CCNA_CDKN1A_B_		lin	559463769.7	55946376969	16103872022	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__CCNB_CDK1_Thr14_Tyr15u_CDKN1A_		lin	234061927.9	23406192790	11299999887	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__E2F_DBD_RB1_1_Ser332u__RB1_E2F_1_Ser807_Ser811u_		lin	50852727.41	5085272741	4299999957	1	0	uniform				#REF!	#REF!
